상권_코드,상권_코드_명,kmeans_cluster,상권유형
3110839,숭실대입구역 4번,0,성장상권
3110840,중앙대학교,2,정체상권
3110842,흑리단길,2,기대상권
3110846,남성역 1번,2,기대상권
3110848,양지어린이공원,2,쇠퇴상권
3110850,사당역 10번,2,기대상권
3110852,이수역 9번,2,기대상권
3110853,KT구로지사,2,기대상권
3110855,신대방역 2번,2,쇠퇴상권
3110856,미성초등학교,2,쇠퇴상권
3110858,신대방역 1번,2,쇠퇴상권
3110861,관악구신사동주민센터,2,기대상권
3110863,난우초등학교,2,정체상권
3110865,남강고등학교(남강중학교),0,정체상권
3110866,난우중학교,2,쇠퇴상권
3110868,남부초등학교,2,기대상권
3110869,"신림역 5번(신림동주민센터, 신림동별빛거리)",2,쇠퇴상권
3110871,신원동주민센터,2,기대상권
3110873,당곡중학교,2,쇠퇴상권
3110875,보라매동주민센터(당곡고등학교),2,기대상권
3110877,신림역 8번,2,성장상권
3110881,구립대학경로당(관악산샘말공원),2,성장상권
3110882,신성초등학교,2,쇠퇴상권
3110883,은천초등학교(은천교앞),2,기대상권
3110884,봉천역 4번(봉천110안전센터),2,기대상권
3110885,영락고등학교,2,쇠퇴상권
3110886,관악해태어린이공원,2,기대상권
3110888,청룡동주민센터,2,쇠퇴상권
3110890,봉천역 1번(관악초등학교),2,기대상권
3110891,구암초등학교,2,쇠퇴상권
3110892,관악구 중앙길,2,정체상권
3110895,샤로수길,2,정체상권
3110896,관악우성아파트,2,쇠퇴상권
3110900,낙성대역 1번(관악구민 종합체육센터),2,쇠퇴상권
3110901,인헌고등학교(인헌중학교),2,쇠퇴상권
3110902,사당역 4번,2,기대상권
3110903,방배아이파크아파트,1,기대상권
3110904,이수역 5번,1,전통강호상권
3110907,방배초등학교,2,쇠퇴상권
3110912,방배동사이길,0,성장상권
3110913,방현초등학교(방배119안전센터),2,쇠퇴상권
3110915,서래초등학교,1,전통강호상권
3110916,내방역 4번,2,전통강호상권
3110921,서울프랑스학교,1,전통강호상권
3110922,내방역 1번,1,쇠퇴상권
3110925,서초중학교,1,기대상권
3110926,신중초등학교,1,쇠퇴상권
3110929,남부터미널역 1번,1,쇠퇴상권
3110930,서초동성당,1,쇠퇴상권
3110931,삼성전자서울R&D(서울우면초등학교),1,정체상권
3110934,우면주공아파트,1,쇠퇴상권
3110936,더케이호텔(양재리본타워2단지아파트),0,성장상권
3110937,방아다리근린공원(횃불트리니티신학대학원대학교),1,정체상권
3110938,바우뫼공원,1,정체상권
3110939,양재역 8번(양재동우체국),1,성장상권
